Modelo,Accuracy,Precision,Recall,F1-Score,AUC
decision_tree,0.9916666666666667,0.9310344827586207,0.9,0.9152542372881356,0.9482456140350877
random_forest,0.9896666666666667,0.9407407407407408,0.8466666666666667,0.8912280701754386,0.9983906432748537
isolation_forest,0.9466666666666667,0.4675324675324675,0.48,0.47368421052631576,0.8630690058479531
logistic_regression,0.9,0.3179611650485437,0.8733333333333333,0.46619217081850534,0.9739742690058479
lof,0.9076666666666666,0.1286549707602339,0.14666666666666667,0.13707165109034267,0.637553216374269
